Model,Brand,RAM_GB,Processor,Generation,Storage_GB_SSD,Display_inch,Battery_hours,Weight_kg,Price_INR,Rating,Best_For
Legion 13,Lenovo,32,Intel i5-12450H,12th Gen,1024,16.0,11.1,2.61,55354,4.4,Office
MacBook Pro 13,Apple,32,Intel i3-1115G4,11th Gen,256,16.0,4.9,1.22,175285,4.1,Office
ROG 13,Asus,8,Intel i3-1115G4,12th Gen,512,14.0,9.2,2.51,91499,4.4,Gaming
MacBook Air 17,Apple,8,Ryzen 5 5500U,6th Gen,512,15.6,6.8,1.99,56487,4.8,Student
Aspire 15,Acer,32,Apple M1,12th Gen,512,14.0,5.7,1.99,162393,3.9,Student
Aspire 17,Acer,32,Ryzen 7 5800H,10th Gen,1024,16.0,6.0,2.64,135010,4.2,Gaming
Vostro 14,Dell,16,Apple M1,11th Gen,512,13.3,11.5,1.34,125458,4.6,Editing
MacBook Pro 17,Apple,16,Ryzen 7 5800H,11th Gen,512,16.0,4.9,2.51,57420,4.7,Programming
G15 16,Dell,16,Intel i5-1135G7,11th Gen,1024,15.6,6.7,2.26,145305,3.5,Editing
TUF 14,Asus,16,Apple M2,6th Gen,512,16.0,7.6,1.97,149737,3.5,Everyday
Aspire 15,Acer,16,Intel i5-12450H,11th Gen,1024,14.0,7.1,1.34,140791,4.9,Programming
IdeaPad 15,Lenovo,16,Apple M2,5th Gen,256,13.3,10.1,1.78,59219,4.7,Everyday
Modern 16,MSI,16,Intel i5-1135G7,6th Gen,1024,13.3,11.8,2.78,164950,4.4,Everyday
G15 13,Dell,16,Intel i5-12450H,12th Gen,1024,13.3,8.2,2.09,165977,4.5,Editing
G15 13,Dell,32,Apple M1,10th Gen,1024,14.0,7.9,1.51,75762,4.0,Programming
Swift 17,Acer,8,Intel i5-1135G7,13th Gen,1024,13.3,4.1,1.32,80703,3.5,Programming
XPS 15,Dell,16,Ryzen 3 5300U,12th Gen,256,16.0,6.9,2.67,132133,4.8,Programming
ROG 16,Asus,16,Intel i5-1135G7,5th Gen,256,15.6,4.7,2.03,92691,3.8,Editing
Victus 13,HP,16,Intel i3-1115G4,5th Gen,256,13.3,5.3,2.73,130804,4.9,Gaming
Inspiron 15,Dell,8,Intel i3-1115G4,12th Gen,256,13.3,6.2,1.55,153354,3.9,Programming
Pavilion 16,HP,8,Apple M1,5th Gen,256,15.6,9.9,1.53,128054,4.8,Editing
XPS 16,Dell,16,Intel i5-12450H,6th Gen,256,16.0,8.9,2.08,146265,3.9,Editing
G15 14,Dell,8,Ryzen 3 5300U,13th Gen,256,16.0,4.3,2.63,125651,3.7,Editing
ThinkPad 13,Lenovo,8,Intel i5-1135G7,10th Gen,256,13.3,9.8,2.56,71624,3.6,Everyday
Slim 17,Lenovo,32,Intel i5-1135G7,10th Gen,256,15.6,4.0,2.27,75445,4.0,Editing
Vostro 16,Dell,32,Apple M2,10th Gen,256,15.6,5.3,1.46,149363,4.3,Gaming
Inspiron 14,Dell,16,Intel i7-12700H,6th Gen,256,15.6,6.8,1.82,147934,4.2,Student
Katana 15,MSI,16,Intel i3-1115G4,5th Gen,256,13.3,4.8,1.68,160844,4.6,Gaming
Swift 16,Acer,8,Apple M1,6th Gen,1024,15.6,10.8,1.85,94702,4.1,Editing
GF63 13,MSI,32,Intel i3-1115G4,11th Gen,1024,15.6,7.9,1.28,156594,4.2,Office
XPS 17,Dell,16,Ryzen 5 5500U,5th Gen,256,15.6,11.1,1.45,81196,4.7,Everyday
Victus 14,HP,32,Ryzen 5 5500U,6th Gen,256,14.0,7.1,1.85,102539,4.6,Student
GF63 16,MSI,32,Intel i5-12450H,10th Gen,1024,13.3,6.4,2.22,177597,4.1,Office
Swift 16,Acer,32,Ryzen 7 5800H,12th Gen,256,16.0,10.7,2.13,71325,4.0,Programming
15s 17,HP,8,Intel i5-12450H,11th Gen,1024,13.3,7.6,2.34,105000,4.5,Editing
MacBook Air 13,Apple,8,Intel i7-12700H,13th Gen,1024,16.0,4.9,2.31,161524,4.7,Programming
Swift 14,Acer,8,Ryzen 7 5800H,6th Gen,1024,14.0,5.1,2.13,124807,4.5,Editing
Katana 16,MSI,8,Apple M2,11th Gen,256,13.3,11.3,2.07,52468,4.5,Office
Legion 13,Lenovo,32,Apple M1,13th Gen,256,16.0,10.4,2.79,74610,4.4,Student
ThinkPad 13,Lenovo,16,Apple M2,6th Gen,256,14.0,4.7,1.75,37935,4.5,Student
TUF 16,Asus,16,Ryzen 3 5300U,5th Gen,1024,15.6,6.2,1.57,175570,3.9,Office
GF63 13,MSI,32,Ryzen 5 5500U,10th Gen,256,15.6,8.9,1.27,121940,4.4,Programming
Aspire 14,Acer,8,Apple M2,12th Gen,1024,13.3,4.4,1.8,35580,4.5,Office
Inspiron 14,Dell,32,Apple M2,12th Gen,512,13.3,4.7,1.89,82815,4.2,Gaming
Modern 17,MSI,32,Apple M1,13th Gen,512,14.0,11.6,1.87,125478,4.1,Student
MacBook Air 13,Apple,32,Intel i7-12700H,10th Gen,512,13.3,4.3,2.48,52211,4.4,Gaming
GF63 15,MSI,32,Intel i3-1115G4,13th Gen,1024,14.0,9.8,1.41,71491,3.8,Everyday
